CITY_NAME;DISTRICT_NAME;NEIGHBORHOOD_NAME;MARITAL_STATUS;POPULATION_MALE_2022;POPULATION_FEMALE_2022;POPULATION_MALE_2023;POPULATION_FEMALE_2023
IZMIR;URLA;ALTINTAS;NEVER MARRIED;465;279;425;294
IZMIR;URLA;ALTINTAS;MARRIED;835;834;862;863
IZMIR;URLA;ALTINTAS;DIVORCED;96;106;105;117
IZMIR;URLA;ALTINTAS;WIDOWED;17;156;21;161
IZMIR;URLA;ATATURK;NEVER MARRIED;400;333;425;326
IZMIR;URLA;ATATURK;MARRIED;1107;1070;1151;1141
IZMIR;URLA;ATATURK;DIVORCED;162;240;167;257
IZMIR;URLA;ATATURK;WIDOWED;60;245;52;247
IZMIR;URLA;CAMIATIK;NEVER MARRIED;99;71;106;73
IZMIR;URLA;CAMIATIK;MARRIED;201;201;200;200
IZMIR;URLA;CAMIATIK;DIVORCED;34;28;39;29
IZMIR;URLA;CAMIATIK;WIDOWED;;;;
IZMIR;URLA;CAMLICAY;NEVER MARRIED;284;239;289;249
IZMIR;URLA;CAMLICAY;MARRIED;777;782;773;781
IZMIR;URLA;CAMLICAY;DIVORCED;99;119;101;121
IZMIR;URLA;CAMLICAY;WIDOWED;21;114;24;149
IZMIR;URLA;DENIZLI;NEVER MARRIED;264;290;277;291
IZMIR;URLA;DENIZLI;MARRIED;996;971;1017;1003
IZMIR;URLA;DENIZLI;DIVORCED;117;185;124;199
IZMIR;URLA;DENIZLI;WIDOWED;29;194;35;211
IZMIR;URLA;GUVENDIK;NEVER MARRIED;785;210;663;241
IZMIR;URLA;GUVENDIK;MARRIED;892;852;921;872
IZMIR;URLA;GUVENDIK;DIVORCED;138;156;151;167
IZMIR;URLA;GUVENDIK;WIDOWED;32;171;28;186
IZMIR;URLA;HACI ISA;NEVER MARRIED;192;153;212;162
IZMIR;URLA;HACI ISA;MARRIED;387;394;385;400
IZMIR;URLA;HACI ISA;DIVORCED;51;76;60;79
IZMIR;URLA;HACI ISA;WIDOWED;;;;
IZMIR;URLA;ICMELER;NEVER MARRIED;341;243;345;258
IZMIR;URLA;ICMELER;MARRIED;889;879;942;930
IZMIR;URLA;ICMELER;DIVORCED;110;112;115;124
IZMIR;URLA;ICMELER;WIDOWED;28;140;25;143
IZMIR;URLA;ISKELE;NEVER MARRIED;290;249;301;261
IZMIR;URLA;ISKELE;MARRIED;762;742;791;780
IZMIR;URLA;ISKELE;DIVORCED;144;143;151;162
IZMIR;URLA;ISKELE;WIDOWED;26;190;30;189
IZMIR;URLA;KALABAK;NEVER MARRIED;493;429;517;472
IZMIR;URLA;KALABAK;MARRIED;1327;1318;1438;1455
IZMIR;URLA;KALABAK;DIVORCED;203;228;212;254
IZMIR;URLA;KALABAK;WIDOWED;48;260;49;282
IZMIR;URLA;NAIPLI;NEVER MARRIED;43;39;41;39
IZMIR;URLA;NAIPLI;MARRIED;81;77;86;80
IZMIR;URLA;NAIPLI;DIVORCED;;;;
IZMIR;URLA;NAIPLI;WIDOWED;;;;
IZMIR;URLA;RUSTEM;NEVER MARRIED;146;130;138;130
IZMIR;URLA;RUSTEM;MARRIED;334;337;350;349
IZMIR;URLA;RUSTEM;DIVORCED;30;39;29;39
IZMIR;URLA;RUSTEM;WIDOWED;;;;
IZMIR;URLA;SIRA;NEVER MARRIED;397;252;411;254
IZMIR;URLA;SIRA;MARRIED;732;737;748;736
IZMIR;URLA;SIRA;DIVORCED;96;111;104;125
IZMIR;URLA;SIRA;WIDOWED;30;136;28;149
IZMIR;URLA;TORASAN;NEVER MARRIED;133;133;138;143
IZMIR;URLA;TORASAN;MARRIED;425;396;452;423
IZMIR;URLA;TORASAN;DIVORCED;74;92;76;104
IZMIR;URLA;TORASAN;WIDOWED;44;165;37;175
IZMIR;URLA;YAKA;NEVER MARRIED;565;386;557;385
IZMIR;URLA;YAKA;MARRIED;1266;1269;1275;1287
IZMIR;URLA;YAKA;DIVORCED;134;185;136;160
IZMIR;URLA;YAKA;WIDOWED;34;244;32;240
IZMIR;URLA;YELALTI;NEVER MARRIED;408;262;415;258
IZMIR;URLA;YELALTI;MARRIED;800;809;791;815
IZMIR;URLA;YELALTI;DIVORCED;102;141;109;144
IZMIR;URLA;YELALTI;WIDOWED;23;179;27;176
IZMIR;URLA;YENI;NEVER MARRIED;102;61;101;59
IZMIR;URLA;YENI;MARRIED;167;156;154;142
IZMIR;URLA;YENI;DIVORCED;29;31;30;29
IZMIR;URLA;YENI;WIDOWED;;;;
IZMIR;URLA;YENICE;NEVER MARRIED;105;81;106;82
IZMIR;URLA;YENICE;MARRIED;331;344;340;357
IZMIR;URLA;YENICE;DIVORCED;34;40;34;41
IZMIR;URLA;YENICE;WIDOWED;;;;
IZMIR;URLA;YENIKENT;NEVER MARRIED;313;277;307;255
IZMIR;URLA;YENIKENT;MARRIED;894;909;905;924
IZMIR;URLA;YENIKENT;DIVORCED;64;134;60;134
IZMIR;URLA;YENIKENT;WIDOWED;15;101;18;103
IZMIR;URLA;ZEYTINALANI;NEVER MARRIED;275;195;273;212
IZMIR;URLA;ZEYTINALANI;MARRIED;580;571;596;588
IZMIR;URLA;ZEYTINALANI;DIVORCED;67;87;72;95
IZMIR;URLA;ZEYTINALANI;WIDOWED;17;97;16;105
IZMIR;URLA;GULBAHCE;NEVER MARRIED;1699;1416;2133;1825
IZMIR;URLA;GULBAHCE;MARRIED;780;740;822;769
IZMIR;URLA;GULBAHCE;DIVORCED;116;92;114;102
IZMIR;URLA;GULBAHCE;WIDOWED;31;169;33;183
IZMIR;URLA;SIRINKENT;NEVER MARRIED;204;150;192;140
IZMIR;URLA;SIRINKENT;MARRIED;567;554;545;533
IZMIR;URLA;SIRINKENT;DIVORCED;39;55;35;56
IZMIR;URLA;SIRINKENT;WIDOWED;15;67;;
IZMIR;URLA;M.FEVZI CAKMAK;NEVER MARRIED;346;293;340;297
IZMIR;URLA;M.FEVZI CAKMAK;MARRIED;874;886;868;903
IZMIR;URLA;M.FEVZI CAKMAK;DIVORCED;75;138;78;145
IZMIR;URLA;M.FEVZI CAKMAK;WIDOWED;19;128;15;135
IZMIR;URLA;BADEMLER;NEVER MARRIED;242;162;226;165
IZMIR;URLA;BADEMLER;MARRIED;611;608;639;637
IZMIR;URLA;BADEMLER;DIVORCED;67;80;71;84
IZMIR;URLA;BADEMLER;WIDOWED;21;109;21;104
IZMIR;URLA;BALIKLIOVA;NEVER MARRIED;142;62;139;71
IZMIR;URLA;BALIKLIOVA;MARRIED;349;303;356;314
IZMIR;URLA;BALIKLIOVA;DIVORCED;63;42;63;51
IZMIR;URLA;BALIKLIOVA;WIDOWED;20;71;21;78
IZMIR;URLA;DEMIRCILI;NEVER MARRIED;25;22;37;25
IZMIR;URLA;DEMIRCILI;MARRIED;78;68;86;83
IZMIR;URLA;DEMIRCILI;DIVORCED;;;;
IZMIR;URLA;DEMIRCILI;WIDOWED;;;;
IZMIR;URLA;KUSCULAR;NEVER MARRIED;362;217;387;228
IZMIR;URLA;KUSCULAR;MARRIED;1015;962;1097;1042
IZMIR;URLA;KUSCULAR;DIVORCED;82;74;94;95
IZMIR;URLA;KUSCULAR;WIDOWED;31;114;35;124
IZMIR;URLA;OVACIK;NEVER MARRIED;19;17;23;16
IZMIR;URLA;OVACIK;MARRIED;41;39;47;43
IZMIR;URLA;OVACIK;DIVORCED;;;;
IZMIR;URLA;OVACIK;WIDOWED;;;;
IZMIR;URLA;YAGCILAR;NEVER MARRIED;46;45;48;46
IZMIR;URLA;YAGCILAR;MARRIED;179;174;178;164
IZMIR;URLA;YAGCILAR;DIVORCED;20;28;19;27
IZMIR;URLA;YAGCILAR;WIDOWED;;;;
IZMIR;URLA;UZUNKUYU;NEVER MARRIED;75;35;83;35
IZMIR;URLA;UZUNKUYU;MARRIED;111;105;117;112
IZMIR;URLA;UZUNKUYU;DIVORCED;;;;
IZMIR;URLA;UZUNKUYU;WIDOWED;;;;
IZMIR;URLA;BARBAROS;NEVER MARRIED;42;23;46;25
IZMIR;URLA;BARBAROS;MARRIED;117;109;125;112
IZMIR;URLA;BARBAROS;DIVORCED;;;16;18
IZMIR;URLA;BARBAROS;WIDOWED;;;;
IZMIR;URLA;BIRGI;NEVER MARRIED;;;;
IZMIR;URLA;BIRGI;MARRIED;48;40;54;51
IZMIR;URLA;BIRGI;DIVORCED;;;;
IZMIR;URLA;BIRGI;WIDOWED;;;;
IZMIR;URLA;KADIOVACIK;NEVER MARRIED;32;18;37;20
IZMIR;URLA;KADIOVACIK;MARRIED;89;79;97;87
IZMIR;URLA;KADIOVACIK;DIVORCED;;;;
IZMIR;URLA;KADIOVACIK;WIDOWED;;;;
IZMIR;URLA;NOHUTALAN;NEVER MARRIED;29;18;30;16
IZMIR;URLA;NOHUTALAN;MARRIED;45;44;46;44
IZMIR;URLA;NOHUTALAN;DIVORCED;;;;
IZMIR;URLA;NOHUTALAN;WIDOWED;;;;
IZMIR;URLA;ZEYTINELI;NEVER MARRIED;45;25;51;33
IZMIR;URLA;ZEYTINELI;MARRIED;127;115;150;134
IZMIR;URLA;ZEYTINELI;DIVORCED;;;;
IZMIR;URLA;ZEYTINELI;WIDOWED;;;;
IZMIR;URLA;ZEYTINLER;NEVER MARRIED;60;30;59;29
IZMIR;URLA;ZEYTINLER;MARRIED;110;103;114;105
IZMIR;URLA;ZEYTINLER;DIVORCED;;;;
IZMIR;URLA;ZEYTINLER;WIDOWED;;;;
IZMIR;URLA;OZBEK;NEVER MARRIED;143;94;155;95
IZMIR;URLA;OZBEK;MARRIED;476;462;485;474
IZMIR;URLA;OZBEK;DIVORCED;74;61;67;67
IZMIR;URLA;OZBEK;WIDOWED;26;108;24;117
